case,kind,product_under_test,param,day,product,pnl
global_size_4,global_size,,4,2,GALAXY_SOUNDS_BLACK_HOLES,16489
global_size_4,global_size,,4,2,GALAXY_SOUNDS_DARK_MATTER,5538
global_size_4,global_size,,4,2,GALAXY_SOUNDS_PLANETARY_RINGS,23700
global_size_4,global_size,,4,2,GALAXY_SOUNDS_SOLAR_FLAMES,18066
global_size_4,global_size,,4,2,GALAXY_SOUNDS_SOLAR_WINDS,965
global_size_4,global_size,,4,2,MICROCHIP_CIRCLE,523
global_size_4,global_size,,4,2,MICROCHIP_OVAL,5618
global_size_4,global_size,,4,2,MICROCHIP_RECTANGLE,16141
global_size_4,global_size,,4,2,MICROCHIP_SQUARE,24261
global_size_4,global_size,,4,2,MICROCHIP_TRIANGLE,6325
global_size_4,global_size,,4,2,OXYGEN_SHAKE_CHOCOLATE,9314
global_size_4,global_size,,4,2,OXYGEN_SHAKE_EVENING_BREATH,2117
global_size_4,global_size,,4,2,OXYGEN_SHAKE_GARLIC,19621
global_size_4,global_size,,4,2,OXYGEN_SHAKE_MINT,0
global_size_4,global_size,,4,2,OXYGEN_SHAKE_MORNING_BREATH,4125
global_size_4,global_size,,4,2,PANEL_1X2,0
global_size_4,global_size,,4,2,PANEL_1X4,16825
global_size_4,global_size,,4,2,PANEL_2X2,7060
global_size_4,global_size,,4,2,PANEL_2X4,4812
global_size_4,global_size,,4,2,PANEL_4X4,0
global_size_4,global_size,,4,2,PEBBLES_L,20786
global_size_4,global_size,,4,2,PEBBLES_M,0
global_size_4,global_size,,4,2,PEBBLES_S,20304
global_size_4,global_size,,4,2,PEBBLES_XL,19620
global_size_4,global_size,,4,2,PEBBLES_XS,9650
global_size_4,global_size,,4,2,ROBOT_DISHES,8067
global_size_4,global_size,,4,2,ROBOT_IRONING,4670
global_size_4,global_size,,4,2,ROBOT_LAUNDRY,6149
global_size_4,global_size,,4,2,ROBOT_MOPPING,4728
global_size_4,global_size,,4,2,ROBOT_VACUUMING,-1758
global_size_4,global_size,,4,2,SLEEP_POD_COTTON,13278
global_size_4,global_size,,4,2,SLEEP_POD_LAMB_WOOL,7141
global_size_4,global_size,,4,2,SLEEP_POD_NYLON,2191
global_size_4,global_size,,4,2,SLEEP_POD_POLYESTER,17615
global_size_4,global_size,,4,2,SLEEP_POD_SUEDE,10064
global_size_4,global_size,,4,2,SNACKPACK_CHOCOLATE,4884
global_size_4,global_size,,4,2,SNACKPACK_PISTACHIO,7750
global_size_4,global_size,,4,2,SNACKPACK_RASPBERRY,13450
global_size_4,global_size,,4,2,SNACKPACK_STRAWBERRY,2606
global_size_4,global_size,,4,2,SNACKPACK_VANILLA,6080
global_size_4,global_size,,4,2,TRANSLATOR_ASTRO_BLACK,-1136
global_size_4,global_size,,4,2,TRANSLATOR_ECLIPSE_CHARCOAL,-2587
global_size_4,global_size,,4,2,TRANSLATOR_GRAPHITE_MIST,226
global_size_4,global_size,,4,2,TRANSLATOR_SPACE_GRAY,0
global_size_4,global_size,,4,2,TRANSLATOR_VOID_BLUE,5339
global_size_4,global_size,,4,2,UV_VISOR_AMBER,13933
global_size_4,global_size,,4,2,UV_VISOR_MAGENTA,17813
global_size_4,global_size,,4,2,UV_VISOR_ORANGE,4325
global_size_4,global_size,,4,2,UV_VISOR_RED,7582
global_size_4,global_size,,4,2,UV_VISOR_YELLOW,4356
global_size_4,global_size,,4,3,GALAXY_SOUNDS_BLACK_HOLES,6391
global_size_4,global_size,,4,3,GALAXY_SOUNDS_DARK_MATTER,1162
global_size_4,global_size,,4,3,GALAXY_SOUNDS_PLANETARY_RINGS,2414
global_size_4,global_size,,4,3,GALAXY_SOUNDS_SOLAR_FLAMES,9240
global_size_4,global_size,,4,3,GALAXY_SOUNDS_SOLAR_WINDS,13780
global_size_4,global_size,,4,3,MICROCHIP_CIRCLE,-862
global_size_4,global_size,,4,3,MICROCHIP_OVAL,18822
global_size_4,global_size,,4,3,MICROCHIP_RECTANGLE,3904
global_size_4,global_size,,4,3,MICROCHIP_SQUARE,32872
global_size_4,global_size,,4,3,MICROCHIP_TRIANGLE,10233
global_size_4,global_size,,4,3,OXYGEN_SHAKE_CHOCOLATE,10434
global_size_4,global_size,,4,3,OXYGEN_SHAKE_EVENING_BREATH,7882
global_size_4,global_size,,4,3,OXYGEN_SHAKE_GARLIC,-1318
global_size_4,global_size,,4,3,OXYGEN_SHAKE_MINT,0
global_size_4,global_size,,4,3,OXYGEN_SHAKE_MORNING_BREATH,2750
global_size_4,global_size,,4,3,PANEL_1X2,0
global_size_4,global_size,,4,3,PANEL_1X4,4839
global_size_4,global_size,,4,3,PANEL_2X2,5525
global_size_4,global_size,,4,3,PANEL_2X4,6302
global_size_4,global_size,,4,3,PANEL_4X4,0
global_size_4,global_size,,4,3,PEBBLES_L,3870
global_size_4,global_size,,4,3,PEBBLES_M,0
global_size_4,global_size,,4,3,PEBBLES_S,7144
global_size_4,global_size,,4,3,PEBBLES_XL,38715
global_size_4,global_size,,4,3,PEBBLES_XS,9490
global_size_4,global_size,,4,3,ROBOT_DISHES,10932
global_size_4,global_size,,4,3,ROBOT_IRONING,20920
global_size_4,global_size,,4,3,ROBOT_LAUNDRY,4835
global_size_4,global_size,,4,3,ROBOT_MOPPING,-4805
global_size_4,global_size,,4,3,ROBOT_VACUUMING,13873
global_size_4,global_size,,4,3,SLEEP_POD_COTTON,10402
global_size_4,global_size,,4,3,SLEEP_POD_LAMB_WOOL,6585
global_size_4,global_size,,4,3,SLEEP_POD_NYLON,7216
global_size_4,global_size,,4,3,SLEEP_POD_POLYESTER,-238
global_size_4,global_size,,4,3,SLEEP_POD_SUEDE,11197
global_size_4,global_size,,4,3,SNACKPACK_CHOCOLATE,9670
global_size_4,global_size,,4,3,SNACKPACK_PISTACHIO,6570
global_size_4,global_size,,4,3,SNACKPACK_RASPBERRY,10530
global_size_4,global_size,,4,3,SNACKPACK_STRAWBERRY,2710
global_size_4,global_size,,4,3,SNACKPACK_VANILLA,7334
global_size_4,global_size,,4,3,TRANSLATOR_ASTRO_BLACK,8967
global_size_4,global_size,,4,3,TRANSLATOR_ECLIPSE_CHARCOAL,13679
global_size_4,global_size,,4,3,TRANSLATOR_GRAPHITE_MIST,3246
global_size_4,global_size,,4,3,TRANSLATOR_SPACE_GRAY,0
global_size_4,global_size,,4,3,TRANSLATOR_VOID_BLUE,6956
global_size_4,global_size,,4,3,UV_VISOR_AMBER,10176
global_size_4,global_size,,4,3,UV_VISOR_MAGENTA,10135
global_size_4,global_size,,4,3,UV_VISOR_ORANGE,2516
global_size_4,global_size,,4,3,UV_VISOR_RED,3688
global_size_4,global_size,,4,3,UV_VISOR_YELLOW,8065
global_size_4,global_size,,4,4,GALAXY_SOUNDS_BLACK_HOLES,15710
global_size_4,global_size,,4,4,GALAXY_SOUNDS_DARK_MATTER,17479
global_size_4,global_size,,4,4,GALAXY_SOUNDS_PLANETARY_RINGS,-6442
global_size_4,global_size,,4,4,GALAXY_SOUNDS_SOLAR_FLAMES,16360
global_size_4,global_size,,4,4,GALAXY_SOUNDS_SOLAR_WINDS,11785
global_size_4,global_size,,4,4,MICROCHIP_CIRCLE,11709
global_size_4,global_size,,4,4,MICROCHIP_OVAL,18905
global_size_4,global_size,,4,4,MICROCHIP_RECTANGLE,19251
global_size_4,global_size,,4,4,MICROCHIP_SQUARE,-20836
global_size_4,global_size,,4,4,MICROCHIP_TRIANGLE,14252
global_size_4,global_size,,4,4,OXYGEN_SHAKE_CHOCOLATE,5335
global_size_4,global_size,,4,4,OXYGEN_SHAKE_EVENING_BREATH,12376
global_size_4,global_size,,4,4,OXYGEN_SHAKE_GARLIC,21387
global_size_4,global_size,,4,4,OXYGEN_SHAKE_MINT,0
global_size_4,global_size,,4,4,OXYGEN_SHAKE_MORNING_BREATH,8346
global_size_4,global_size,,4,4,PANEL_1X2,0
global_size_4,global_size,,4,4,PANEL_1X4,9532
global_size_4,global_size,,4,4,PANEL_2X2,1919
global_size_4,global_size,,4,4,PANEL_2X4,11239
global_size_4,global_size,,4,4,PANEL_4X4,0
global_size_4,global_size,,4,4,PEBBLES_L,1635
global_size_4,global_size,,4,4,PEBBLES_M,0
global_size_4,global_size,,4,4,PEBBLES_S,22075
global_size_4,global_size,,4,4,PEBBLES_XL,68520
global_size_4,global_size,,4,4,PEBBLES_XS,12280
global_size_4,global_size,,4,4,ROBOT_DISHES,-2119
global_size_4,global_size,,4,4,ROBOT_IRONING,-2050
global_size_4,global_size,,4,4,ROBOT_LAUNDRY,3695
global_size_4,global_size,,4,4,ROBOT_MOPPING,7796
global_size_4,global_size,,4,4,ROBOT_VACUUMING,-3122
global_size_4,global_size,,4,4,SLEEP_POD_COTTON,8535
global_size_4,global_size,,4,4,SLEEP_POD_LAMB_WOOL,19185
global_size_4,global_size,,4,4,SLEEP_POD_NYLON,5290
global_size_4,global_size,,4,4,SLEEP_POD_POLYESTER,6254
global_size_4,global_size,,4,4,SLEEP_POD_SUEDE,-3255
