case,day,product,pnl
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,GALAXY_SOUNDS_BLACK_HOLES,16489
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,GALAXY_SOUNDS_DARK_MATTER,5538
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,GALAXY_SOUNDS_PLANETARY_RINGS,23700
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,GALAXY_SOUNDS_SOLAR_FLAMES,18066
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,GALAXY_SOUNDS_SOLAR_WINDS,965
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,MICROCHIP_CIRCLE,523
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,MICROCHIP_OVAL,5618
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,MICROCHIP_RECTANGLE,-4896
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,MICROCHIP_SQUARE,9514
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,MICROCHIP_TRIANGLE,6325
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,OXYGEN_SHAKE_CHOCOLATE,9314
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,OXYGEN_SHAKE_EVENING_BREATH,2117
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,OXYGEN_SHAKE_GARLIC,19621
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,OXYGEN_SHAKE_MINT,0
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,OXYGEN_SHAKE_MORNING_BREATH,4125
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,PANEL_1X2,0
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,PANEL_1X4,16825
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,PANEL_2X2,7060
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,PANEL_2X4,4812
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,PANEL_4X4,0
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,PEBBLES_L,20786
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,PEBBLES_M,0
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,PEBBLES_S,20129
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,PEBBLES_XL,19620
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,PEBBLES_XS,9650
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,ROBOT_DISHES,8067
MICROCHIP_RECTANGLE__MICROCHIP_SQUARE__w200__z1.5__h200,2,ROBOT_IRONING,4670
